case,PrefixLen,Act1,Act2,Act3,Res1,Res2,Res3,gender_cat,citizen_cat,age_group,german_speaking_cat,religious_cat,label,score
9597,3,A08,A12,A11,Online System,HR-pro,Senior Partner,F,T,45-64,F,T,0,1
6499,3,A08,A12,A03,Online System,HR-dummy,HR-pro,T,T,45-64,T,F,1,1
3849,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,F,30-44,F,F,1,1
1123,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,F,T,45-64,F,T,0,1
2538,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,T,F,45-64,T,F,1,0
4120,3,A08,A12,A11,Front Desk,HR-pro,Senior Partner,F,T,45-64,F,T,0,0
4655,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,T,F,45-64,T,F,0,1
3285,3,A08,A12,A11,Online System,HR-pro,Senior Partner,F,T,45-64,T,T,0,1
1709,3,A08,A12,A03,Front Desk,HR-dummy,HR-pro,F,F,65+,F,T,0,1
8838,3,A08,A12,A03,Online System,HR-dummy,HR-pro,T,T,30-44,F,T,0,1
9906,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,T,45-64,F,T,1,1
8052,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,T,45-64,F,F,0,0
2080,3,A08,A12,A11,Online System,HR-pro,HR-dummy,T,F,45-64,F,T,0,0
3638,3,A08,A12,A11,Online System,HR-pro,Senior Partner,T,F,45-64,F,T,1,1
6126,3,A08,A12,A03,Front Desk,HR-dummy,HR-dummy,F,T,30-44,T,T,1,1
7817,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,F,T,30-44,F,T,1,1
181,3,A08,A12,A11,Front Desk,HR-pro,HR-dummy,F,T,45-64,T,T,0,0
3307,3,A08,A12,A11,Front Desk,HR-dummy,Senior Partner,T,T,45-64,T,T,1,1
2057,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,F,30-44,T,T,0,1
7140,3,A08,A12,A03,Online System,HR-dummy,HR-dummy,T,T,45-64,F,T,1,1
1475,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,F,65+,F,F,0,0
3454,3,A08,A12,A11,Online System,HR-dummy,Senior Partner,T,T,45-64,T,T,0,1
1865,3,A08,A12,A11,Front Desk,HR-dummy,HR-dummy,T,T,45-64,T,F,1,0
7301,3,A08,A12,A11,Front Desk,HR-pro,HR-dummy,F,T,30-44,T,F,0,0
7721,3,A08,A12,A03,Online System,HR-pro,HR-pro,T,T,45-64,T,F,1,1
3582,3,A08,A12,A11,Online System,HR-pro,HR-dummy,F,T,45-64,F,F,0,0
