case,PrefixLen,Act1,Act2,Act3,Act4,Act5,gender_cat,citizen_cat,age_group,german_speaking_cat,religious_cat,label,score
4717,5,A08,A12,A03,A11,A06,T,T,30-44,T,F,0,0
5246,5,A08,A12,A03,A11,A06,F,F,45-64,T,F,0,0
1973,5,A08,A12,A03,A11,A05,T,T,65+,T,T,1,1
8156,5,A08,A12,A03,A11,A05,T,F,45-64,T,F,0,1
985,5,A08,A12,A03,A11,A01,T,T,30-44,F,T,0,0
5350,5,A08,A12,A03,A11,A06,T,T,45-64,T,T,1,0
682,5,A08,A12,A03,A11,A06,F,F,45-64,F,F,0,0
7608,5,A08,A12,A03,A11,A01,T,F,45-64,T,F,0,0
9504,5,A08,A12,A11,A03,A01,F,F,45-64,T,T,0,0
9773,5,A08,A12,A11,A03,A05,F,F,45-64,F,T,1,1
1086,5,A08,A12,A03,A11,A05,T,T,45-64,T,T,1,1
6323,5,A08,A12,A03,A11,A01,T,F,30-44,T,T,0,0
323,5,A08,A12,A03,A11,A06,T,F,45-64,F,F,1,0
8333,5,A08,A12,A03,A11,A05,T,T,45-64,F,T,1,1
2347,5,A08,A12,A03,A11,A06,F,F,65+,F,F,0,0
2326,5,A08,A12,A11,A03,A05,T,T,45-64,T,T,1,1
3702,5,A08,A12,A03,A11,A05,F,F,45-64,F,F,1,1
2080,5,A08,A12,A11,A03,A01,T,F,45-64,F,T,0,0
6529,5,A08,A12,A03,A11,A06,F,T,45-64,T,T,0,0
6164,5,A08,A12,A03,A11,A06,T,T,45-64,T,F,0,0
8504,5,A08,A12,A03,A11,A06,F,T,45-64,F,T,0,0
9352,5,A08,A12,A11,A03,A01,T,F,30-44,F,T,0,0
4259,5,A08,A12,A11,A03,A05,T,T,45-64,F,T,1,1
2837,5,A08,A12,A11,A03,A05,F,F,30-44,F,T,1,1
1737,5,A08,A12,A11,A03,A01,T,T,30-44,F,T,0,0
3785,5,A08,A12,A03,A11,A05,T,F,30-44,T,F,1,1
9131,5,A08,A12,A03,A11,A01,T,T,45-64,F,F,0,0
2833,5,A08,A12,A03,A11,A01,T,T,45-64,T,F,0,0
6203,5,A08,A12,A11,A03,A01,F,T,30-44,T,T,0,0
2045,5,A08,A12,A11,A03,A01,T,F,45-64,T,F,0,0
