label_value,score,Act1,Act2,Act3,gender_cat,citizen_cat,age_group,german_speaking_cat,religious_cat
0,1,A08,A12,A11,F,T,45-64,F,T
1,1,A08,A12,A03,T,T,45-64,T,F
1,1,A08,A12,A11,T,F,30-44,F,F
0,1,A08,A12,A11,F,T,45-64,F,T
1,1,A08,A12,A11,T,F,45-64,T,F
0,1,A08,A12,A11,F,T,45-64,F,T
0,1,A08,A12,A03,T,F,45-64,T,F
0,1,A08,A12,A11,F,T,45-64,T,T
0,1,A08,A12,A03,F,F,65+,F,T
0,1,A08,A12,A03,T,T,30-44,F,T
1,1,A08,A12,A11,T,T,45-64,F,T
0,1,A08,A12,A11,T,T,45-64,F,F
0,1,A08,A12,A11,T,F,45-64,F,T
1,1,A08,A12,A11,T,F,45-64,F,T
1,1,A08,A12,A03,F,T,30-44,T,T
1,1,A08,A12,A11,F,T,30-44,F,T
0,1,A08,A12,A11,F,T,45-64,T,T
1,1,A08,A12,A11,T,T,45-64,T,T
0,1,A08,A12,A11,T,F,30-44,T,T
1,1,A08,A12,A03,T,T,45-64,F,T
0,1,A08,A12,A11,T,F,65+,F,F
0,1,A08,A12,A11,T,T,45-64,T,T
1,1,A08,A12,A11,T,T,45-64,T,F
0,1,A08,A12,A11,F,T,30-44,T,F
1,1,A08,A12,A03,T,T,45-64,T,F
0,1,A08,A12,A11,F,T,45-64,F,F
0,1,A08,A12,A11,F,T,30-44,T,T
0,1,A08,A12,A11,F,F,65+,T,F
0,1,A08,A12,A11,T,T,45-64,T,T
0,1,A08,A12,A11,T,F,45-64,F,T
1,1,A08,A12,A11,T,F,30-44,F,T
0,1,A08,A12,A11,T,F,18-29,F,F
0,1,A08,A12,A03,T,T,45-64,T,F
0,1,A08,A12,A11,T,T,30-44,T,F
0,1,A08,A12,A11,F,F,45-64,F,T
0,1,A08,A12,A11,F,F,65+,F,F
0,1,A08,A12,A03,F,F,18-29,F,T
0,1,A08,A12,A03,F,F,45-64,T,T
0,1,A08,A12,A11,F,F,45-64,F,F
1,1,A08,A12,A03,F,T,30-44,T,T
0,1,A08,A12,A03,T,T,45-64,F,F
1,1,A08,A12,A03,F,T,30-44,F,F
0,1,A08,A12,A11,T,T,45-64,T,T
0,1,A08,A12,A03,T,F,45-64,F,T
0,1,A08,A12,A11,F,T,65+,T,F
0,1,A08,A12,A03,F,T,45-64,T,T
0,1,A08,A12,A03,F,T,30-44,F,F
0,1,A08,A12,A11,F,F,30-44,T,T
0,1,A08,A12,A03,F,T,45-64,F,F
0,1,A08,A12,A11,T,F,45-64,T,F
