model_id,score_threshold,k,attribute_name,attribute_value,tpr,tnr,for,fdr,fpr,fnr,npv,precision,pp,pn,ppr,pprev,fp,fn,tn,tp,group_label_pos,group_label_neg,group_size,total_entities,prev,ppr_disparity,pprev_disparity,precision_disparity,fdr_disparity,for_disparity,fpr_disparity,fnr_disparity,tpr_disparity,tnr_disparity,npv_disparity,ppr_ref_group_value,pprev_ref_group_value,precision_ref_group_value,fdr_ref_group_value,for_ref_group_value,fpr_ref_group_value,fnr_ref_group_value,tpr_ref_group_value,tnr_ref_group_value,npv_ref_group_value
0,binary 0/1,1690,Act1,A08,1.0,0.12347684809098294,0.0,0.6384615384615384,0.8765231519090171,0.0,1.0,0.36153846153846153,1690,152,1.0,0.9174809989142236,1079,0,152,611,611,1231,1842,1842,0.3317046688382193,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,A08,A08,A08,A08,A08,A08,A08,A08,A08,A08
0,binary 0/1,1690,Act2,A12,1.0,0.12347684809098294,0.0,0.6384615384615384,0.8765231519090171,0.0,1.0,0.36153846153846153,1690,152,1.0,0.9174809989142236,1079,0,152,611,611,1231,1842,1842,0.3317046688382193,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,A12,A12,A12,A12,A12,A12,A12,A12,A12,A12
0,binary 0/1,1690,Act3,A01,,1.0,0.0,,0.0,,1.0,,0,152,0.0,0.0,0,0,152,0,0,152,152,1842,0.0,0.0,0.0,,,,0.0,,,10.0,,A11,A11,A11,A11,A11,A11,A11,A11,A11,A11
0,binary 0/1,1690,Act3,A03,1.0,0.0,,0.6461352657004831,1.0,0.0,,0.3538647342995169,828,0,0.48994082840236686,1.0,535,0,0,293,293,535,828,1842,0.3538647342995169,0.9605568445475637,1.0,0.9592182420320238,1.0238393364592213,,1.0,,1.0,,,A11,A11,A11,A11,A11,A11,A11,A11,A11,A11
0,binary 0/1,1690,Act3,A11,1.0,0.0,,0.6310904872389791,1.0,0.0,,0.3689095127610209,862,0,0.5100591715976331,1.0,544,0,0,318,318,544,862,1842,0.3689095127610209,1.0,1.0,1.0,1.0,,1.0,,1.0,,,A11,A11,A11,A11,A11,A11,A11,A11,A11,A11
0,binary 0/1,1690,gender_cat,F,1.0,0.14311926605504588,0.0,0.6504178272980501,0.8568807339449541,0.0,1.0,0.34958217270194986,718,78,0.42485207100591715,0.9020100502512562,467,0,78,251,251,545,796,1842,0.31532663316582915,0.7386831275720165,0.9706815972868458,0.9438718662952646,1.0330165492380796,,0.9604904958925465,,1.0,1.3267542772129928,1.0,T,T,T,T,T,T,T,T,T,T
0,binary 0/1,1690,gender_cat,T,1.0,0.10787172011661808,0.0,0.6296296296296297,0.892128279883382,0.0,1.0,0.37037037037037035,972,74,0.5751479289940828,0.9292543021032504,612,0,74,360,360,686,1046,1842,0.3441682600382409,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,T,T,T,T,T,T,T,T,T,T
0,binary 0/1,1690,citizen_cat,F,1.0,0.1413793103448276,0.0,0.6720647773279352,0.8586206896551725,0.0,1.0,0.32793522267206476,741,82,0.43846153846153846,0.9003645200486027,498,0,82,243,243,580,823,1842,0.29526123936816523,0.7808219178082192,0.9667770768488156,0.8456807780320366,1.0977443609022557,,0.9620689655172414,,1.0,1.3148275862068965,1.0,T,T,T,T,T,T,T,T,T,T
0,binary 0/1,1690,citizen_cat,T,1.0,0.10752688172043011,0.0,0.6122233930453108,0.8924731182795699,0.0,1.0,0.38777660695468913,949,70,0.5615384615384615,0.9313052011776252,581,0,70,368,368,651,1019,1842,0.36113837095191365,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,T,T,T,T,T,T,T,T,T,T
0,binary 0/1,1690,age_group,18-29,1.0,0.058823529411764705,0.0,0.64,0.9411764705882353,0.0,1.0,0.36,25,1,0.014792899408284023,0.9615384615384616,16,0,1,9,9,17,26,1842,0.34615384615384615,0.02321262766945218,1.0543889722162703,0.979090909090909,1.01215859030837,,1.0849097348190377,,1.0,0.4440045248868778,1.0,45-64,45-64,45-64,45-64,45-64,45-64,45-64,45-64,45-64,45-64
